stage,trial_id,score,mean_gap_pct,std_gap_pct,infeasible_rate,mean_runtime_ms,max_runs,population_size,generations,refinement_candidates,ils_iterations,ils_local_search_steps,elite_size,initial_mutation_rate,initial_scaling_factor,ls_every,ls_steps,stagnation_limit,datasets
stage1,29,549.350668,221.345049,390.028095,0.250000,12219.004,2,120,600,5,60,20,2,0.693522,2.243155,100,37,300,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage1,40,646.570805,218.394972,390.879166,0.350000,6717.192,2,80,600,5,60,20,4,0.791043,2.412656,500,13,1166,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage1,7,700.600915,310.295573,451.526711,0.300000,8369.700,2,120,600,5,60,20,6,0.833819,0.561836,500,6,2471,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage1,8,700.692800,310.402246,451.452772,0.300000,16209.017,2,200,600,5,60,20,6,0.941584,1.014000,250,5,1381,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage1,13,700.731649,310.440486,451.455815,0.300000,13288.775,2,200,600,5,60,20,10,0.679745,2.273671,500,9,2346,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage1,10,700.738244,310.450497,451.438739,0.300000,15129.642,2,200,600,5,60,20,4,0.944695,2.875027,250,36,1696,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage1,3,701.260645,311.054373,451.031363,0.300000,16744.488,2,200,600,5,60,20,4,0.912844,2.509576,250,27,327,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage1,39,701.321581,311.123424,450.990785,0.300000,11022.130,2,160,600,5,60,20,10,0.791719,2.906071,500,23,1587,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage1,30,701.404274,311.219909,450.921826,0.300000,6680.079,2,80,600,5,60,20,4,0.778656,1.168897,500,35,1162,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
stage1,31,701.414726,311.230168,450.922786,0.300000,12527.087,2,200,600,4,60,20,8,0.957126,0.977292,500,25,1850,src/data/train/train_0.json|src/data/train/train_1.json|src/data/train/train_2.json|src/data/train/train_3.json|src/data/train/train_4.json|src/data/train/train_5.json|src/data/train/train_6.json|src/data/train/train_7.json|src/data/train/train_8.json|src/data/train/train_9.json
